scenario,policy,metric,mean,ci_low,ci_high,n
sc_peak_workload,pto,terminal_system,0.0,0.0,0.0,50
sc_peak_workload,pto,uncompleted_at_drain_limit,0.0,0.0,0.0,50
sc_peak_workload,pto,drain_truncated,0.0,0.0,0.0,50
sc_peak_workload,pto,drain_minutes,24.76,23.2195,26.3205,50
sc_peak_workload,pto,first_queue_threshold_period,100.48,59.66,147.661,50
sc_peak_workload,pto,mean_net_queue_drift,-0.021612318840579712,-0.03112545289855072,-0.014074275362318842,50
sc_peak_workload,pto,tail_net_queue_drift,-0.010636363636363637,-0.016093181818181816,-0.0045431818181818195,50
sc_peak_workload,pto,service_floor_binding_rate,0.5600905797101449,0.5396526268115942,0.5798922101449275,50
sc_peak_workload,pto,projection_binding_rate,0.5,0.36,0.64,50
sc_peak_workload,pto_adaptive_slow,mean_gate_wait,5.661433777909536,5.140380950521022,6.321534749976989,50
sc_peak_workload,pto_adaptive_slow,mean_yard_wait,0.2904104219300275,0.28006405159169706,0.29989785606932834,50
sc_peak_workload,pto_adaptive_slow,mean_total_wait,5.951844199839563,5.457536866446865,6.5855180113907075,50
sc_peak_workload,pto_adaptive_slow,p95_total_wait,18.320245461343553,14.964640008481307,22.99537425588642,50
sc_peak_workload,pto_adaptive_slow,mean_turnaround,21.95330343589827,21.422550672436774,22.576877979343802,50
sc_peak_workload,pto_adaptive_slow,mean_gate_queue,4.110885265700483,3.7300538647342996,4.580729649758455,50
sc_peak_workload,pto_adaptive_slow,mean_yard_queue,0.13430797101449274,0.12888583937198067,0.14010051328502418,50
sc_peak_workload,pto_adaptive_slow,p95_yard_queue,0.644399999999999,0.6206974999999992,0.6709341666666652,50
sc_peak_workload,pto_adaptive_slow,throughput_rate,0.8166154877575028,0.815803592193751,0.8174398561325665,50
sc_peak_workload,pto_adaptive_slow,completion_rate,1.0,1.0,1.0,50
sc_peak_workload,pto_adaptive_slow,acceptance_rate,0.8292063261918251,0.8283346868685215,0.8301071719255899,50
sc_peak_workload,pto_adaptive_slow,gate_utilization,0.9495775966183575,0.948294870923913,0.9508191500603864,50
sc_peak_workload,pto_adaptive_slow,yard_utilization,0.7530827394731991,0.7511656550968101,0.7549284156027641,50
sc_peak_workload,pto_adaptive_slow,yard_resource_hours_per_truck,0.23268852220318015,0.23212603473200527,0.2332325792635946,50
sc_peak_workload,pto_adaptive_slow,mean_composite_cost,0.3220805533203633,0.3157993006371838,0.3299694424598225,50
sc_peak_workload,pto_adaptive_slow,mean_quota,21.369565217391305,21.33476086956522,21.406086956521737,50
sc_peak_workload,pto_adaptive_slow,mean_yard_capacity,9.40695652173913,9.368695652173914,9.445239130434784,50
sc_peak_workload,pto_adaptive_slow,unstable,0.0,0.0,0.0,50
sc_peak_workload,pto_adaptive_slow,queue_tail_slope,-0.0015716406612458407,-0.0035690791695546184,0.0003337346376427577,50
sc_peak_workload,pto_adaptive_slow,terminal_system,0.0,0.0,0.0,50
sc_peak_workload,pto_adaptive_slow,uncompleted_at_drain_limit,0.0,0.0,0.0,50
sc_peak_workload,pto_adaptive_slow,drain_truncated,0.0,0.0,0.0,50
sc_peak_workload,pto_adaptive_slow,drain_minutes,25.1,23.44,26.8405,50
sc_peak_workload,pto_adaptive_slow,first_queue_threshold_period,87.0,46.26,127.78,50
