seed_block,seed,policy,path,weighted_cost,mean_queue,terminal_yard_backlog,late_horizon_drift
0,41000,pto_reid_3d,18,0.07361637946545047,2.244565217391304,4.0,0.0006707928419828211
0,41000,pto_reid_3d,19,0.08139125880495514,2.739130434782609,1.0,-0.0019626821296967437
0,41000,pto_reid_3d,20,0.07271131329896831,2.1856884057971016,0.0,0.0023298169696917086
0,41000,pto_reid_3d,21,0.0717184590316574,2.118659420289855,0.0,0.0024498261711205344
0,41000,pto_reid_3d,22,0.07948512659793656,2.6159420289855073,8.0,-0.0035946879109718358
0,41000,pto_reid_3d,23,0.0782362005100806,2.5407608695652173,2.0,-0.0041900138455462045
0,41000,pto_reid_3d,24,0.08979055901906313,3.3052536231884058,0.0,0.00030924613388078943
0,41000,pto_reid_3d,25,0.0752558975206691,2.346014492753623,4.0,-0.0035583379268139185
0,41000,pto_reid_3d,26,0.12317858877823713,5.517210144927536,0.0,-0.0015378213447106975
0,41000,pto_reid_3d,27,0.07912781747316927,2.592391304347826,4.0,0.0008407697082018585
0,41000,pto_reid_3d,28,0.08982055265430627,3.289855072463768,0.0,0.0013760367883541161
0,41000,pto_reid_3d,29,0.0877131996734412,3.1557971014492754,0.0,-0.0001089414450583553
0,41000,pto_reid_3d,30,0.07751401146106042,2.488224637681159,0.0,0.008238859543661214
0,41000,pto_reid_3d,31,0.1057310502298522,4.384057971014493,6.0,0.0021366737702854612
0,41000,pto_reid_3d,32,0.0736033435214425,2.2318840579710146,0.0,0.00013058867443001054
0,41000,pto_reid_3d,33,0.08990042135589588,3.3125,0.0,0.0013975755103103745
0,41000,pto_reid_3d,34,0.07409517279302646,2.2690217391304346,4.0,-0.0016922273968202988
0,41000,pto_reid_3d,35,0.108663024361501,4.567934782608695,0.0,0.0014330574351451178
0,41000,pto_reid_3d,36,0.10912047719932742,4.586050724637682,0.0,0.00027430674612303004
0,41000,pto_reid_3d,37,0.12280055483586648,5.494565217391305,1.0,-0.0017368239445483705
0,41000,pto_reid_3d,38,0.07072594774152363,2.050724637681159,4.0,0.0001417106845081793
0,41000,pto_reid_3d,39,0.07814887064925059,2.5244565217391304,7.0,-0.00454136085660094
0,41000,pto_reid_1d,0,0.07277469941705143,2.1802536231884058,0.0,0.000490833293547281
0,41000,pto_reid_1d,1,0.07679914019557578,2.441123188405797,10.0,0.003595989999956597
0,41000,pto_reid_1d,2,0.0793372950008549,2.6068840579710146,0.0,-0.001379834547893003
0,41000,pto_reid_1d,3,0.07890260235338566,2.5815217391304346,2.0,0.0026005429711066456
0,41000,pto_reid_1d,4,0.0736901251810473,2.239130434782609,1.0,0.0006169731639460241
0,41000,pto_reid_1d,5,0.07743756409737422,2.4918478260869565,0.0,0.0006278239054857009
0,41000,pto_reid_1d,6,0.07717804282604197,2.4619565217391304,0.0,-0.001203835520119445
0,41000,pto_reid_1d,7,0.07728550151134873,2.4782608695652173,6.0,0.004998936627329112
0,41000,pto_reid_1d,8,0.07873736325893577,2.573369565217391,3.0,-0.002768295435310049
0,41000,pto_reid_1d,9,0.07509235082179595,2.3369565217391304,0.0,0.002965995946162961
0,41000,pto_reid_1d,10,0.07848072074685833,2.5552536231884058,0.0,0.0005559919964930404
0,41000,pto_reid_1d,11,0.07350713561205133,2.232789855072464,1.0,0.002382660080989935
0,41000,pto_reid_1d,12,0.0835449755530367,2.881340579710145,5.0,0.004014069071480345
0,41000,pto_reid_1d,13,0.07341323858167174,2.2282608695652173,0.0,-0.0003595393209171915
0,41000,pto_reid_1d,14,0.07964233665290281,2.6268115942028984,9.0,0.004919563452966375
0,41000,pto_reid_1d,15,0.0798665228411557,2.6449275362318843,8.0,0.0042840897746952026
0,41000,pto_reid_1d,16,0.08556735172140845,3.016304347826087,0.0,-0.0022568999865450806
0,41000,pto_reid_1d,17,0.07270115892550336,2.177536231884058,0.0,-0.001149310543882569
0,41000,pto_reid_1d,18,0.07353854051403853,2.239130434782609,4.0,0.0006707928419828211
0,41000,pto_reid_1d,19,0.07923857098840405,2.598731884057971,1.0,-0.0019626821296967437
0,41000,pto_reid_1d,20,0.0724716200442611,2.170289855072464,0.0,0.0023298169696917086
0,41000,pto_reid_1d,21,0.07317118946733968,2.2119565217391304,0.0,0.0024498261711205344
0,41000,pto_reid_1d,22,0.0804722177241612,2.6784420289855073,8.0,-0.0035946879109718358
0,41000,pto_reid_1d,23,0.08021008476596633,2.6684782608695654,2.0,-0.0041900138455462045
0,41000,pto_reid_1d,24,0.075586490972391,2.364130434782609,0.0,0.00030924613388078943
0,41000,pto_reid_1d,25,0.07516584352144276,2.3405797101449277,4.0,-0.0035583379268139185
0,41000,pto_reid_1d,26,0.08348339990464124,2.8759057971014492,0.0,-0.0015378213447106975
0,41000,pto_reid_1d,27,0.07806657018325122,2.5244565217391304,4.0,0.0008407697082018585
0,41000,pto_reid_1d,28,0.0848246683804283,2.9592391304347827,0.0,0.0013760367883541161
0,41000,pto_reid_1d,29,0.08056321069369134,2.682065217391304,0.0,-0.0001089414450583553
0,41000,pto_reid_1d,30,0.07772637055928909,2.5027173913043477,0.0,0.008238859543661214
0,41000,pto_reid_1d,31,0.06960675979902661,1.9827898550724639,6.0,0.0021366737702854612
0,41000,pto_reid_1d,32,0.07517295889221771,2.3333333333333335,0.0,0.00013058867443001054
0,41000,pto_reid_1d,33,0.07410585568869828,2.2644927536231885,0.0,0.0013975755103103745
0,41000,pto_reid_1d,34,0.0741050769618297,2.2699275362318843,4.0,-0.0016922273968202988
0,41000,pto_reid_1d,35,0.07628349650050845,2.4157608695652173,0.0,0.0014330574351451178
0,41000,pto_reid_1d,36,0.07635580283647767,2.4067028985507246,0.0,0.00027430674612303004
0,41000,pto_reid_1d,37,0.08081884676454489,2.699275362318841,1.0,-0.0017368239445483705
0,41000,pto_reid_1d,38,0.07095205403970911,2.0652173913043477,4.0,0.0001417106845081793
0,41000,pto_reid_1d,39,0.0778488134114201,2.505434782608696,7.0,-0.00454136085660094
0,41000,feedback_fast,0,0.22798102127358197,6.427536231884058,7.0,0.002308983545935529
0,41000,feedback_fast,1,0.21803763359242265,5.9148550724637685,4.0,0.00136247336142952
0,41000,feedback_fast,2,0.23897060460691547,7.059782608695652,0.0,-1.3834695463087947e-05
0,41000,feedback_fast,3,0.23339315895474128,6.71286231884058,19.0,-0.000854550149957248
0,41000,feedback_fast,4,0.22694841257792972,6.372282608695652,0.0,-0.0017106736574377492
0,41000,feedback_fast,5,0.2331916190996688,6.745471014492754,17.0,-0.0015753649104379792
0,41000,feedback_fast,6,0.21326408286778478,5.608695652173913,3.0,0.0012932998841140803
0,41000,feedback_fast,7,0.21886643794024913,5.802536231884058,0.0,0.0021922295669686066
0,41000,feedback_fast,8,0.2274171625779295,6.33786231884058,0.0,-0.0032413877664399585
0,41000,feedback_fast,9,0.22329352127358199,6.223731884057971,22.0,-0.00014084262518500516
0,41000,feedback_fast,10,0.23702766982430584,6.980072463768116,3.0,0.000927846909057765
0,41000,feedback_fast,11,0.22499415533155281,6.179347826086956,1.0,0.0005891952656044514
0,41000,feedback_fast,12,0.2268419814185096,6.42481884057971,0.0,0.0013632329133372975
